auc_heart,auc_diabetes,auc_stroke,auc_macro,auc_micro,ap_heart,ap_diabetes,ap_stroke,hamming,f1_macro,f1_micro,strategy,base,fold
0.9696493982208267,0.980592709152898,0.9869928169287516,0.9790783081008255,0.9787317895194607,0.7415640765189618,0.8445532207617075,0.8577748939791967,0.08541666666666667,0.6523047909186523,0.6639344262295082,BR,LR,0
0.9696493982208267,0.9809423900690619,0.9891283245971656,0.9799067042956847,0.978894868449663,0.7415640765189618,0.8503072846100711,0.8682974541798072,0.08854166666666667,0.6402930402930403,0.6558704453441295,CC,LR,0
1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0020833333333333333,0.9791666666666666,0.9879518072289156,BR,RF,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0020833333333333333,0.9791666666666666,0.9879518072289156,CC,RF,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,BR,GB,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,CC,GB,0
0.9726582940868654,0.964332546551272,0.9974762182100564,0.9781556862827313,0.978378451837356,0.857637980319578,0.8216256614820271,0.9634803921568627,0.084375,0.672999230473259,0.6610878661087866,BR,LR,1
0.9726582940868654,0.9650319083835999,0.9974762182100563,0.978388806893507,0.9783648619265057,0.857637980319578,0.8245975140423408,0.9588680532725334,0.0875,0.6579149358858588,0.6528925619834711,CC,LR,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00625,0.950293375813089,0.9629629629629629,BR,RF,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008333333333333333,0.9250801759614019,0.95,CC,RF,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,BR,GB,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,CC,GB,1
0.9857160915181393,0.9687392942788626,0.9955348476024073,0.9833300777998031,0.9839816933638444,0.9032701506906609,0.8502578488064176,0.9304286399874635,0.06666666666666667,0.7243645898513155,0.7142857142857143,BR,LR,2
0.9857160915181393,0.9697670435080508,0.9955348476024073,0.9836726608761991,0.9841546485019423,0.9032701506906609,0.852730142637061,0.9314380092524108,0.06875,0.7154430521683066,0.7105263157894737,CC,LR,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0020833333333333333,0.9871794871794872,0.9882352941176471,BR,RF,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.003125,0.9831634229224591,0.9822485207100592,CC,RF,2
0.962962962962963,1.0,1.0,0.9876543209876543,0.9887046990580597,0.9321759259259259,1.0,1.0,0.0020833333333333333,0.9871794871794872,0.9882352941176471,BR,GB,2
0.962962962962963,1.0,1.0,0.9876543209876543,0.9887046990580597,0.9321759259259259,1.0,1.0,0.0020833333333333333,0.9871794871794872,0.9882352941176471,CC,GB,2
0.9697802197802197,0.9751490219125178,0.9955348476024073,0.980154696431715,0.9793119046351977,0.7819306701382149,0.8485970872160173,0.936170936906231,0.078125,0.6767676767676768,0.6887966804979253,BR,LR,3
0.9697802197802197,0.9747292418772563,0.9957289846631722,0.9800794821068827,0.9785801713586292,0.7819306701382149,0.8479589504584331,0.9410614772224679,0.07604166666666666,0.6835474006116208,0.694560669456067,CC,LR,3
1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,0.003125,0.9794414735591207,0.9822485207100592,BR,RF,3
1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.003125,0.9794414735591207,0.9822485207100592,CC,RF,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,BR,GB,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,CC,GB,3
0.9677664012135001,0.9698526892771497,0.987858719646799,0.9751592700458164,0.9763663414569921,0.769818531625779,0.8101569728559166,0.8674109712798916,0.1,0.623734623916112,0.6363636363636364,BR,LR,4
0.9677664012135001,0.9697670435080507,0.9865710080941869,0.9747014842719125,0.9755236929072691,0.769818531625779,0.8150121687419285,0.8632276442890253,0.10104166666666667,0.6183215185030067,0.6283524904214559,CC,LR,4
1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.0010416666666666667,0.9904761904761905,0.9942196531791907,BR,RF,4
1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0000000000000002,0.0010416666666666667,0.9904761904761905,0.9942196531791907,CC,RF,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,BR,GB,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,CC,GB,4
