target,feature,importance
Heart_Disease,Age,0.24282352925709874
Heart_Disease,BMI,0.015880359492542226
Heart_Disease,Blood_Pressure_Systolic,0.3188168015795175
Heart_Disease,Blood_Pressure_Diastolic,0.014535443684708499
Heart_Disease,Cholesterol,0.3809146318016584
Heart_Disease,Glucose_Level,0.01789225670888415
Heart_Disease,Gender,0.001987824665717193
Heart_Disease,Smoking,0.002017388489211599
Heart_Disease,Alcohol_Intake,0.002181991544136992
Heart_Disease,Physical_Activity,0.0013621309481275648
Heart_Disease,Family_History,0.0015876418283970871
Diabetes,Age,0.015873152980049703
Diabetes,BMI,0.5823447151919642
Diabetes,Blood_Pressure_Systolic,0.016033597382926607
Diabetes,Blood_Pressure_Diastolic,0.014528768565517837
Diabetes,Cholesterol,0.017344471192464326
Diabetes,Glucose_Level,0.34352487187127834
Diabetes,Gender,0.00197422174692342
Diabetes,Smoking,0.0018695359453172768
Diabetes,Alcohol_Intake,0.0023377709027376783
Diabetes,Physical_Activity,0.0019392802578507271
Diabetes,Family_History,0.002229613962969928
Stroke,Age,0.3221003116647516
Stroke,BMI,0.02435149698053319
Stroke,Blood_Pressure_Systolic,0.3974425602638274
Stroke,Blood_Pressure_Diastolic,0.01649381220724326
Stroke,Cholesterol,0.01725903945071074
Stroke,Glucose_Level,0.016185910368792734
Stroke,Gender,0.002038211480698054
Stroke,Smoking,0.19796177656610658
Stroke,Alcohol_Intake,0.002077313477334851
Stroke,Physical_Activity,0.001771610599418314
Stroke,Family_History,0.002317956940583311
