target,feature,perm_delta_auc_mean,perm_delta_auc_std
Heart_Disease,Age,0.08957780305903174,0.012505872233962715
Heart_Disease,BMI,0.0,0.0
Heart_Disease,Blood_Pressure_Systolic,0.1241562381494122,0.019868781798002298
Heart_Disease,Blood_Pressure_Diastolic,0.0,0.0
Heart_Disease,Cholesterol,0.19780053090633296,0.03586831863106536
Heart_Disease,Glucose_Level,1.1102230246251566e-17,3.33066907387547e-17
Heart_Disease,Gender,0.0,0.0
Heart_Disease,Smoking,5.551115123125783e-18,2.4196749845665626e-17
Heart_Disease,Alcohol_Intake,0.0,0.0
Heart_Disease,Physical_Activity,0.0,0.0
Heart_Disease,Family_History,5.551115123125783e-18,2.419674984566563e-17
Diabetes,Age,-0.00011776293251114511,0.00017545628549056093
Diabetes,BMI,0.326897053785543,0.03077281534739936
Diabetes,Blood_Pressure_Systolic,0.00010705721137373448,0.0002042521414476048
Diabetes,Blood_Pressure_Diastolic,-3.6399451867097364e-05,0.00014664884229330762
Diabetes,Cholesterol,0.00015202124015074037,0.00016885199676381038
Diabetes,Glucose_Level,0.13759421034600888,0.017518992801757338
Diabetes,Gender,-1.0705721137388435e-05,5.725309162863175e-05
Diabetes,Smoking,-6.851661527922936e-05,8.391537316830143e-05
Diabetes,Alcohol_Intake,0.00012846865364847803,0.00011649084025980106
Diabetes,Physical_Activity,0.00016700924974306087,0.00018011083286069226
Diabetes,Family_History,9.635149023634604e-05,5.2228121435619544e-05
Stroke,Age,0.19625315472723742,0.044476135415073774
Stroke,BMI,5.551115123125783e-18,2.4196749845665626e-17
Stroke,Blood_Pressure_Systolic,0.22714521452145217,0.041884823126457735
Stroke,Blood_Pressure_Diastolic,5.551115123125783e-18,2.4196749845665626e-17
Stroke,Cholesterol,-5.551115123125783e-18,5.5232898094427217e-17
Stroke,Glucose_Level,0.0,6.080941944488117e-17
Stroke,Gender,0.0,0.0
Stroke,Smoking,0.05386332750922147,0.0104031428474617
Stroke,Alcohol_Intake,1.1102230246251566e-17,3.3306690738754695e-17
Stroke,Physical_Activity,-5.551115123125783e-18,5.5232898094427217e-17
Stroke,Family_History,5.551115123125783e-18,2.4196749845665626e-17
